,Userid,Mailid,Product
0,125,bank125@gmail.com,Business Insurance
1,111,bank111@gmail.com,Credit Card
2,141,bank141@gmail.com,Car Loans
3,137,bank137@gmail.com,Home Loans
4,115,bank115@gmail.com,Fixed Deposit
5,136,bank136@gmail.com,Business Loan
6,125,bank125@gmail.com,Lockers
7,148,bank148@gmail.com,Lockers
8,140,bank140@gmail.com,Travel Insurance
9,104,bank104@gmail.com,Business Insurance
10,121,bank121@gmail.com,Recurring Deposit
11,138,bank138@gmail.com,Foreign Exchange Services
12,137,bank137@gmail.com,Family Wealth Account
13,103,bank103@gmail.com,Travel Insurance
14,136,bank136@gmail.com,Student Account
15,148,bank148@gmail.com,Foreign Exchange Services
16,147,bank147@gmail.com,Business Insurance
17,148,bank148@gmail.com,Credit Card
18,114,bank114@gmail.com,Two Wheeler Insurance
19,148,bank148@gmail.com,Car Insurance
20,119,bank119@gmail.com,Car Loans
21,111,bank111@gmail.com,Gold Loans
22,145,bank145@gmail.com,Demat Account
23,116,bank116@gmail.com,Recurring Deposit
24,127,bank127@gmail.com,Fixed Deposit
25,103,bank103@gmail.com,Recurring Deposit
26,140,bank140@gmail.com,Business Insurance
27,136,bank136@gmail.com,Two Wheeler Loan
28,139,bank139@gmail.com,Home Loans
29,139,bank139@gmail.com,Credit Card
30,127,bank127@gmail.com,Car Loans
31,130,bank130@gmail.com,Life Insurance
32,146,bank146@gmail.com,Car Insurance
33,120,bank120@gmail.com,Home Loans
34,145,bank145@gmail.com,Two Wheeler Loan
35,147,bank147@gmail.com,Demat Account
36,125,bank125@gmail.com,Family Wealth Account
37,102,bank102@gmail.com,Educational Loan
38,108,bank108@gmail.com,Educational Loan
39,144,bank144@gmail.com,Two Wheeler Loan
40,104,bank104@gmail.com,Car Insurance
41,114,bank114@gmail.com,Two Wheeler Loan
42,120,bank120@gmail.com,E-Lockers
43,142,bank142@gmail.com,Life Insurance
44,136,bank136@gmail.com,Credit Card
45,143,bank143@gmail.com,Recurring Deposit
46,136,bank136@gmail.com,Car Insurance
47,148,bank148@gmail.com,Educational Loan
48,121,bank121@gmail.com,Family Wealth Account
49,112,bank112@gmail.com,Credit Card
50,149,bank149@gmail.com,Credit Card
51,106,bank106@gmail.com,Travel Insurance
52,134,bank134@gmail.com,Demat Account
53,102,bank102@gmail.com,Demat Account
54,148,bank148@gmail.com,Life Insurance
55,141,bank141@gmail.com,Business Insurance
56,112,bank112@gmail.com,Educational Loan
57,146,bank146@gmail.com,Demat Account
58,129,bank129@gmail.com,Home Loans
59,149,bank149@gmail.com,Travel Insurance
60,106,bank106@gmail.com,Family Wealth Account
61,103,bank103@gmail.com,Recurring Deposit
62,132,bank132@gmail.com,Demat Account
63,149,bank149@gmail.com,Credit Card
64,110,bank110@gmail.com,Investments
65,138,bank138@gmail.com,Travel Insurance
66,113,bank113@gmail.com,Two Wheeler Insurance
67,117,bank117@gmail.com,Savings Account
68,112,bank112@gmail.com,Car Insurance
69,106,bank106@gmail.com,E-Lockers
70,126,bank126@gmail.com,Gold Loans
71,108,bank108@gmail.com,Lockers
72,102,bank102@gmail.com,Fixed Deposit
73,121,bank121@gmail.com,Family Wealth Account
74,106,bank106@gmail.com,E-Lockers
75,121,bank121@gmail.com,Student Account
76,128,bank128@gmail.com,Educational Loan
77,115,bank115@gmail.com,Credit Card
78,105,bank105@gmail.com,Car Insurance
79,102,bank102@gmail.com,E-Lockers
80,110,bank110@gmail.com,Credit Card
81,143,bank143@gmail.com,Foreign Exchange Services
82,115,bank115@gmail.com,Fixed Deposit
83,141,bank141@gmail.com,Student Account
84,139,bank139@gmail.com,Recurring Deposit
85,101,bank101@gmail.com,Car Loans
86,134,bank134@gmail.com,Savings Account
87,102,bank102@gmail.com,E-Lockers
88,120,bank120@gmail.com,Educational Loan
89,115,bank115@gmail.com,Credit Card
90,108,bank108@gmail.com,Fixed Deposit
91,116,bank116@gmail.com,Car Loans
92,104,bank104@gmail.com,Home Loans
93,114,bank114@gmail.com,Family Wealth Account
94,117,bank117@gmail.com,Travel Insurance
95,101,bank101@gmail.com,Car Insurance
96,138,bank138@gmail.com,Two Wheeler Insurance
97,106,bank106@gmail.com,Life Insurance
98,109,bank109@gmail.com,Business Insurance
99,116,bank116@gmail.com,Travel Insurance
